IDREFPELANGGAN,ID_UNIT_USAHA,FSTREAMID,FDAYOFWEEK,FHOUR,AVG_FDVC
01203030139,012,1,2,19,107.8
0150005345,015,1,2,14,218.22
02300292,023,1,2,3,37.87
0150002022,015,1,3,16,835.8
023713824,023,1,2,10,35.03
022522265,022,1,2,8,246.35
0130013352,013,1,2,2,3029.46
023523055,023,1,3,1,625.84
02100310,021,1,3,4,54.02
01203030138,012,1,2,15,14.84
012530300,012,1,2,15,44.96
0120303048,012,1,3,10,86.4
019622480,019,1,3,17,182.68
012303006,012,1,3,14,352.38
0130016425,013,1,2,10,554.0
02100079,021,1,2,3,95.64
0190303096,019,1,2,7,8.19
014536203,014,1,3,17,118.31
034774895,034,1,3,3,317.0
01604648,016,1,3,13,75.94
02200305,022,1,3,16,1139.67
015561088,015,1,3,6,39.65
03105061,031,1,3,8,668.38
03120076,031,1,2,9,16.54
011552297,011,1,3,11,222.96
022667061,022,1,2,22,4.02
013743377,013,1,2,15,106.03
02200222,022,1,3,4,66.91
021513659,021,1,2,15,61.0
01704277,017,1,2,23,1.89
023524105,023,1,2,18,267.07
02300287,023,1,2,5,1278.6
0120025934,012,1,3,3,168.18
023666123,023,1,2,18,87.09
0130252714,013,1,2,13,188.0
013561721,013,1,3,23,533.11
02100335,021,1,3,3,119.0
014564190,014,1,3,11,41.01
03107728,031,1,2,15,541.32
011560445,011,1,3,16,0.38
0110025787,011,1,3,2,25.0
0110025419,011,1,3,8,125.42
0110025454,011,1,3,12,139.0
0150003331,015,1,3,2,357.36
0150019853,015,1,3,8,101.77
01203030141,012,1,3,1,161.56
0130252590,013,1,3,0,596.87
02100018,021,1,3,6,75.73
0123031038,012,1,3,22,180.95
02200269,022,1,3,6,43.43
0150019852,015,1,3,14,67.73
014517181,014,1,3,23,27.17
011549125,011,1,2,9,56.54
033675713,033,1,2,20,3577.98
0123031384,012,1,3,11,5.76
021667577,021,1,2,22,104.0
023528440,023,1,3,14,70.04
03107243,031,1,2,8,200.69
0120010103,012,1,3,23,0.21
01703357,017,1,2,14,27.92
013570484,013,1,2,14,47.6
016705622,016,1,2,4,155.167
033560072,033,1,2,15,13.28
01614600,016,1,3,23,147.52
021559370,021,1,3,4,76.82
021562033,021,1,3,5,299.4
0120025886,012,1,2,11,498.97
0150019495,015,1,2,22,195.0
02200269,022,1,2,19,44.56
02100303,021,1,3,9,128.72
0130015137,013,1,3,1,1467.0
02200044,022,1,2,19,220.2
01203030132,012,1,3,2,19.46
0130011196,013,1,3,23,48.0
014683991,014,1,2,12,74.43
014674179,014,1,2,8,94.28
011526403,011,1,3,7,4.55
02200307,022,1,3,1,343.84
0130252355,013,1,3,8,244.0
0140014749,014,1,3,3,295.0
021514220,021,1,2,10,2.09
01203030133,012,1,3,11,21.74
02200358,022,1,2,23,8.44
0140019657,014,1,2,13,191.0
012514228,012,1,2,10,71.65
012586146,012,1,3,4,0.94
015552395,015,1,3,15,36.46
02100267,021,1,2,18,280.0
02200334,022,1,2,17,39.3
02300315,023,1,2,22,12.91
012557944,012,1,2,22,6.23
0130252590,013,1,2,13,786.11
013526289,013,1,2,18,49.0
02300331,023,1,3,13,1198.0
